DECADE,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,STATENAM,ICPSRSTI,ICPSRCTYI,ICPSRFIP,STATE,COUNTY,PID,X_CENTROID,Y_CENTROID,GISJOIN,GISJOIN2,SHAPE_AREA,SHAPE_LEN,border
"1870",Garrard,"210","0790","51","790",GARRARD,Kentucky,"51","790",0.00000,"210","0790",364.00000000,999470.05074548,75983.40027446,G2100790,"2100790",605739199.97599995136,200544.47687000001,
"1870",Baldwin,"010","0030","41","30",BALDWIN,Alabama,"41","30",0.00000,"010","0030",443.00000000,789602.64868672,-721429.38989009,G0100030,"0100030",4232265763.34999990463,757830.35612699995,
"1870",Taylor,"130","2690","44","2690",TAYLOR,Georgia,"44","2690",0.00000,"130","2690",398.00000000,1094385.08054036,-485216.68195573,G1302690,"1302690",987102425.28799998760,175941.41452699999,
"1870",Osborne,"200","1410","32","1410",OSBORNE,Kansas,"32","1410",0.00000,"200","1410",2133.00000000,-236317.09617723,210818.51162594,G2001410,"2001410",2316171663.30000019073,192667.06884200001,
"1870",Hickman,"210","1050","51","1050",HICKMAN,Kentucky,"51","1050",0.00000,"210","1050",2092.00000000,621331.69369932,-69119.18463068,G2101050,"2101050",655105297.76999998093,124209.62321900000,
"1870",Kanawha,"540","0390","56","390",KANAWHA,West Virginia,"56","390",0.00000,"540","0390",1454.00000000,1248212.38416707,188969.33573502,G5400390,"5400390",2359448371.21999979019,308552.56494499999,
"1870",Essex,"500","0090","6","90",ESSEX,Vermont,"6","90",0.00000,"500","0090",628.00000000,1897553.51815659,1052171.72999845,G5000090,"5000090",1744963720.37000012398,266956.61662599997,
"1870",Pah-Ute,"045","0177","65","255",PAH UTE,Arizona Territory,"65","255",0.00000,"045","0177",497.00000000,-1648574.41389658,28309.64765665,G0450177,"0450177",34178761845.09999847412,863984.70701200003,
"1870",Mclennan,"480","3090","49","3090",MCLENNAN,Texas,"49","3090",0.00000,"480","3090",1171.00000000,-113660.05841014,-664140.37199376,G4803090,"4803090",2746018589.44999980927,211482.61189199999,
"1870",Gage,"310","0670","35","670",GAGE,Nebraska,"35","670",0.00000,"310","0670",1623.00000000,-58121.22380985,309710.63378133,G3100670,"3100670",2227220712.21000003815,193279.57093099999,
"1870",Refugio,"480","3910","49","3910",REFUGIO,Texas,"49","3910",0.00000,"480","3910",1190.00000000,-110539.80601462,-1027157.49721093,G4803910,"4803910",2681411673.53000020981,1139356.72304000007,
"1870",Stanton,"310","1670","35","1670",STANTON,Nebraska,"35","1670",0.00000,"310","1670",2221.00000000,-98334.77143037,495426.85490184,G3101670,"3101670",1116428092.24000000954,135223.29264800000,
"1870",Butler,"420","0190","14","190",BUTLER,Pennsylvania,"14","190",0.00000,"420","0190",1937.00000000,1337626.41112549,495778.81214462,G4200190,"4200190",2058483958.57999992371,180434.90115200001,
"1870",Burt,"310","0210","35","210",BURT,Nebraska,"35","210",0.00000,"310","0210",1538.00000000,-27175.86742414,487205.87281635,G3100210,"3100210",1265307790.13000011444,158983.85678900001,
"1870",Genesee,"260","0490","23","490",GENESEE,Michigan,"23","490",0.00000,"260","0490",67.00000000,993764.30566866,682684.96636325,G2600490,"2600490",1681776589.75000000000,174399.32604300001,
"1870",Montgomery,"130","2090","44","2090",MONTGOMERY,Georgia,"44","2090",0.00000,"130","2090",306.00000000,1249673.69298829,-505108.83034989,G1302090,"1302090",2023882184.11000013351,233779.50354300000,
"1870",Mora,"355","0255","66","330",MORA,New Mexico Territory,"66","330",0.00000,"355","0255",1698.00000000,-731130.86471314,-130070.32072801,G3550255,"3550255",12496253787.00000000000,547396.34968300001,
"1870",Anderson,"210","0050","51","50",ANDERSON,Kentucky,"51","50",0.00000,"210","0050",335.00000000,955765.49685743,111957.73044949,G2100050,"2100050",534728789.34700000286,136784.64467499999,
"1870",Dutchess,"360","0270","13","270",DUTCHESS,New York,"13","270",0.00000,"360","0270",1715.00000000,1820426.56182258,692016.91326170,G3600270,"3600270",2134665327.16000008583,221705.92741999999,
"1870",Mcdowell,"370","1110","47","1110",MCDOWELL,North Carolina,"47","1110",0.00000,"370","1110",1801.00000000,1245607.32846939,-113794.09249656,G3701110,"3701110",1267699837.63000011444,200477.43711200001,
"1870",Anoka,"270","0030","33","30",ANOKA,Minnesota,"33","30",0.00000,"270","0030",222.00000000,215923.93805963,872444.48568830,G2700030,"2700030",1155781018.55999994278,153866.03641900001,
"1870",Henderson,"480","2130","49","2130",HENDERSON,Texas,"49","2130",0.00000,"480","2130",1145.00000000,13716.55094477,-591347.69709058,G4802130,"4802130",2457933659.36999988556,303344.64739900001,
"1870",San Luis Obispo,"060","0790","71","790",SAN LUIS OBISPO,California,"71","790",0.00000,"060","0790",2075.00000000,-2167573.97401230,36937.72658057,G0600790,"0600790",9208428773.95999908447,678116.89544300002,
"1870",Chickasaw,"190","0370","31","370",CHICKASAW,Iowa,"31","370",0.00000,"190","0370",725.00000000,298267.12501985,628402.45917138,G1900370,"1900370",1309184708.83999991417,144988.93046400000,
"1870",Victoria,"480","4690","49","4690",VICTORIA,Texas,"49","4690",0.00000,"480","4690",1211.00000000,-95024.03625042,-970306.85978062,G4804690,"4804690",2299917438.09000015259,281665.56976599997,
"1870",Ashland,"550","0030","25","30",ASHLAND,Wisconsin,"25","30",0.00000,"550","0030",2140.00000000,405227.57484544,991565.24766176,G5500030,"5500030",4443647938.35000038147,633141.80752799998,
"1870",'L''eau Qui Court',"310","1095","35","1070",KNOX/L'EAU QUI CO,Nebraska,"35","1070",0.00000,"310","1095",1633.00000000,-152377.41159551,570177.46409888,G3101095,"3101095",3325858271.23999977112,256438.62589699999,
"1870",Campbell,"130","0395","44","410",CAMPBELL,Georgia,"44","410",0.00000,"130","0395",914.00000000,1038919.70420744,-368793.40707613,G1300395,"1300395",796095877.87200009823,117891.90515200001,
"1870",Cayuga,"360","0110","13","110",CAYUGA,New York,"13","110",0.00000,"360","0110",1708.00000000,1567799.85189424,767522.06479390,G3600110,"3600110",1901589371.81000018120,259666.38551600001,
"1870",Union,"370","1790","47","1790",UNION,North Carolina,"47","1790",0.00000,"370","1790",2236.00000000,1394263.68707494,-167560.20085411,G3701790,"3701790",1656541334.22000002861,177970.68532700001,
"1870",Wells,"180","1790","22","1790",WELLS,Indiana,"22","1790",0.00000,"180","1790",2333.00000000,900928.84950572,413001.29541632,G1801790,"1801790",959346238.69700002670,141739.70909200000,
"1870",Webster,"210","2330","51","2330",WEBSTER,Kentucky,"51","2330",0.00000,"210","2330",1025.00000000,727194.13083987,33899.45592476,G2102330,"2102330",869415477.09800004959,154454.92689300000,
"1870",Cooke,"480","0970","49","970",COOKE,Texas,"49","970",0.00000,"480","0970",1116.00000000,-111701.62781633,-431407.48025178,G4800970,"4800970",2327923540.46999979019,298837.04076200002,
"1870",Peoria,"170","1430","21","1430",PEORIA,Illinois,"21","1430",0.00000,"170","1430",1308.00000000,521864.79239079,385601.25379733,G1701430,"1701430",1633978914.31999993324,180027.64140100000,
"1870",Tuscola,"260","1570","23","1570",TUSCOLA,Michigan,"23","1570",0.00000,"260","1570",2194.00000000,1010542.68857764,734726.64992629,G2601570,"2601570",2109006859.00999975204,225856.99925699999,
"1870",Trego,"200","1950","32","1950",TREGO,Kansas,"32","1950",0.00000,"200","1950",1412.00000000,-332597.64233407,165283.83630390,G2001950,"2001950",2328461411.11999988556,193133.52452700000,
"1870",Hopkins,"210","1070","51","1070",HOPKINS,Kentucky,"51","1070",0.00000,"210","1070",376.00000000,741693.66341701,11594.35057067,G2101070,"2101070",1435465370.75000000000,253298.20861199999,
"1870",Waushara,"550","1370","25","1370",WAUSHARA,Wisconsin,"25","1370",0.00000,"550","1370",969.00000000,538641.66496525,759311.40842659,G5501370,"5501370",1650820867.97000026703,171868.72486900000,
"1870",Yadkin,"370","1970","47","1970",YADKIN,North Carolina,"47","1970",0.00000,"370","1970",1834.00000000,1361833.15627996,-40238.35860956,G3701970,"3701970",909296592.92100000381,139207.91774300000,
"1870",Stewart,"470","1610","54","1610",STEWART,Tennessee,"54","1610",0.00000,"470","1610",1076.00000000,725044.51023697,-85014.00012242,G4701610,"4701610",1594028082.40000009537,167875.59021100000,
