DECADE,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,STATENAM,ICPSRSTI,ICPSRCTYI,ICPSRFIP,STATE,COUNTY,PID,X_CENTROID,Y_CENTROID,GISJOIN,GISJOIN2,SHAPE_AREA,SHAPE_LEN,region,border
"1880",Hutchinson,"095","0815",,,,Dakota Territory,"37","670",0.00000,"095","0815",519.00000000,-141582.06289257,654615.27808720,G0950815,"0950815",2109197640.29999995232,188620.55721200001,,
"1880",Pleasants,"540","0730","56","730",PLEASANTS,West Virginia,"56","730",0.00000,"540","0730",1571.00000000,1261602.47998884,308391.80452569,G5400730,"5400730",348581162.39200001955,109267.12326500000,,"1"
"1880",Labette,"200","0990","32","990",LABETTE,Kansas,"32","990",0.00000,"200","0990",372.00000000,61765.06477796,-34371.47389280,G2000990,"2000990",1692047523.58999991417,164957.63767299999,,
"1880",Angelina,"480","0050","49","50",ANGELINA,Texas,"49","50",0.00000,"480","0050",1245.00000000,131784.21926251,-697009.79110752,G4800050,"4800050",2238955643.21999979019,338096.16205300001,,
"1880",Stevens,"270","1490","33","1490",STEVENS,Minnesota,"33","1490",0.00000,"270","1490",1812.00000000,-22.57996900,904097.15167342,G2701490,"2701490",1489828185.32000017166,156209.62017000001,,
"1880",Bienville,"220","0130","45","130",BIENVILLE,Louisiana,"45","130",0.00000,"220","0130",184.00000000,275621.34322250,-572037.29736455,G2200130,"2200130",2128393205.43000006676,242374.71533499999,,
"1880",Northumberland,"510","1330","40","1330",NORTHUMBERLAND,Virginia,"40","1330",0.00000,"510","1330",2453.00000000,1693439.65432273,218423.72370358,G5101330,"5101330",508121917.76800000668,533417.13266999996,,
"1880",Mahoning,"390","0990","24","990",MAHONING,Ohio,"24","990",0.00000,"390","0990",2457.00000000,1264719.64455916,495366.60844972,G3900990,"3900990",1096551850.26999998093,153169.18775899999,,
"1880",Burke,"370","0230","47","230",BURKE,North Carolina,"47","230",0.00000,"370","0230",2526.00000000,1276552.51580423,-99908.89277355,G3700230,"3700230",1333573001.05999994278,196456.56916300001,,
"1880",Izard,"050","0650","42","650",IZARD,Arkansas,"42","650",0.00000,"050","0650",119.00000000,364496.36006081,-149543.66379147,G0500650,"0500650",1509385430.55000019073,182093.03926500000,,
"1880",Wicomico,"240","0450","52","430",WICOMICO,Maryland,"52","430",0.00000,"240","0450",91.00000000,1750187.38860944,286267.22436483,G2400450,"2400450",993811735.20599985123,185046.60895500000,,
"1880",Dooly,"130","0930","44","930",DOOLY,Georgia,"44","930",0.00000,"130","0930",2136.00000000,1144861.98756013,-535527.70973710,G1300930,"1300930",1812044779.17000007629,200068.24622800000,,
"1880",Camden,"370","0290","47","290",CAMDEN,North Carolina,"47","290",0.00000,"370","0290",2528.00000000,1746289.29140023,58112.25771176,G3700290,"3700290",626569727.76900005341,230088.74135299999,,
"1880",Garland,"050","0510","42","510",GARLAND,Arkansas,"42","510",0.00000,"050","0510",113.00000000,260754.81536941,-323841.42988580,G0500510,"0500510",1779847398.73000001907,201578.82209500001,,
"1880",Auglaize,"390","0110","24","110",AUGLAIZE,Ohio,"24","110",0.00000,"390","0110",2603.00000000,986386.41570199,404239.35137364,G3900110,"3900110",1040444338.65999996662,170116.08857100000,,
"1880",Clinton,"390","0270","24","270",CLINTON,Ohio,"24","270",0.00000,"390","0270",2610.00000000,1037242.85816116,281251.99352901,G3900270,"3900270",1067812424.94000005722,134267.88218099999,,
"1880",Charleston,"450","0190","48","190",CHARLESTON,South Carolina,"48","190",0.00000,"450","0190",1137.00000000,1482078.57995064,-368384.77177535,G4500190,"4500190",5450805096.69999980927,1759959.66706999997,,
"1880",Platte,"290","1650","34","1650",PLATTE,Missouri,"34","1650",0.00000,"290","1650",1959.00000000,104683.44972358,211419.52203434,G2901650,"2901650",1106504076.31999993324,162539.19714500001,,
"1880",Sevier,"495","0555","67","410",SEVIER,Utah Territory,"67","410",0.00000,"495","0555",963.00000000,-1353769.72351241,252968.74945320,G4950555,"4950555",4944029484.98999977112,315145.95680900000,,
"1880",Lyon,"190","1190","31","1190",LYON/BUNCOMBE,Iowa,"31","1190",0.00000,"190","1190",2354.00000000,-16963.94484104,658437.39177969,G1901190,"1901190",1521951098.94000005722,192810.50897299999,,
"1880",Harvey,"200","0790","32","790",HARVEY,Kansas,"32","790",0.00000,"200","0790",364.00000000,-124076.65608519,61809.63124389,G2000790,"2000790",1399902903.34999990463,154208.93115799999,,
"1880",Bibb,"010","0070","41","70",BIBB,Alabama,"41","70",0.00000,"010","0070",443.00000000,822741.63396294,-465446.40067117,G0100070,"0100070",1600251808.55999994278,184907.89427799999,,
"1880",Henry,"130","1510","44","1510",HENRY,Georgia,"44","1510",0.00000,"130","1510",398.00000000,1090944.08408817,-384840.15191297,G1301510,"1301510",836553277.19900000095,168575.28326400000,"13",
