DECADE,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,STATENAM,ICPSRSTI,ICPSRCTYI,ICPSRFIP,STATE,COUNTY,PID,X_CENTROID,Y_CENTROID,GISJOIN,GISJOIN2,SHAPE_AREA,SHAPE_LEN,border
"1900",Lawrence,"470","0990","54","990",LAWRENCE,Tennessee,"54","990",0.00000,"470","0990",2226.00000000,775582.61235591,-220311.47768632,G4700990,"4700990",1574160478.60999989510,173413.86359200001,
"1900",Sherman,"310","1630","35","1630",SHERMAN,Nebraska,"35","1630",0.00000,"310","1630",2137.00000000,-247538.95208242,420762.43947400,G3101630,"3101630",1480493063.61999988556,154225.35560600000,
"1900",Gallatin,"210","0770","51","770",GALLATIN,Kentucky,"51","770",0.00000,"210","0770",1055.00000000,956896.14362411,197024.99714800,G2100770,"2100770",271104390.10699999332,98000.07130210000,"1"
"1900",Sherman,"410","0550","72","550",SHERMAN,Oregon,"72","550",0.00000,"410","0550",1139.00000000,-1910765.37012948,1133560.34413491,G4100550,"4100550",2152933733.44000005722,311042.76794500003,
"1900",Harrison,"290","0810","34","810",HARRISON,Missouri,"34","810",0.00000,"290","0810",2625.00000000,169066.57135879,321693.63883036,G2900810,"2900810",1881498062.49000000954,177562.84958600000,"1"
"1900",Mason,"480","3190","49","3190",MASON,Texas,"49","3190",0.00000,"480","3190",2049.00000000,-308176.72935064,-752476.26382343,G4803190,"4803190",2414382518.53000020981,197561.31793200001,
"1900",Brevard,"120","0090","43","90",BREVARD/ST LUCIE,Florida,"43","90",0.00000,"120","0090",273.00000000,1510765.73237694,-955340.29486792,G1200090,"1200090",6520827720.00000095367,1704389.68845000002,
"1900",Calhoun,"170","0130","21","130",CALHOUN,Illinois,"21","130",0.00000,"170","0130",519.00000000,456261.46869615,199850.85672325,G1700130,"1700130",734742928.70700001717,179491.54511300000,"1"
"1900",Martin,"270","0910","33","910",MARTIN,Minnesota,"33","910",0.00000,"270","0910",1571.00000000,116342.67411140,692071.81187525,G2700910,"2700910",1889518058.20999979973,175051.68482800000,
"1900",Hanover,"510","0850","40","850",HANOVER,Virginia,"40","850",0.00000,"510","0850",1714.00000000,1605020.55474564,185950.35696954,G5100850,"5100850",1227869736.14000010490,252070.58887700000,
