year,variable,sample,aate,se,p,n_pts
1850,Log Farm Value,unadjusted_tri_mserd,-0.04399298978028765,0.06983375011008966,0.5287158780004939,100
1850,Log Farm Value,geog_adjusted_tri_mserd,-0.16521083248701887,0.05144296942409003,0.001320284614495593,100
1850,Log Farm Value,geog_and_slave_adjusted_tri_mserd,-0.4489857623475384,0.04757024252220826,3.786071402192654e-21,100
1850,Log Farm Value,unadjusted_tri_imserd,-0.06342602163067475,0.07540992695561857,0.40030133379038557,100
1850,Log Farm Value,geog_adjusted_tri_imserd,-0.1636923948712326,0.0516416564023908,0.0015255739198176462,100
1850,Log Farm Value,geog_and_slave_adjusted_tri_imserd,-0.44749768364223586,0.047613126402799986,5.528334624436029e-21,100
1850,Log Farm Value,unadjusted_epa_mserd,-0.040123976269158965,0.07095766756595395,0.5717584939619325,100
1850,Log Farm Value,geog_adjusted_epa_mserd,-0.15668371880515064,0.0540397114051989,0.0037385596886966364,100
1850,Log Farm Value,geog_and_slave_adjusted_epa_mserd,-0.44230034859202966,0.04985316839736573,7.180446050954718e-19,100
1850,Log Farm Value,unadjusted_tri_mserd_p2,-0.084035925195396,0.07604590065775373,0.26912993236676497,100
1850,Log Farm Value,geog_adjusted_tri_mserd_p2,-0.14469793738965434,0.05621254106567254,0.010049483686261514,100
1850,Log Farm Value,geog_and_slave_adjusted_tri_mserd_p2,-0.44479818446557895,0.05331347159608205,7.238446167328657e-17,100
1860,Log Farm Value,unadjusted_tri_mserd,-0.03772858613007438,0.0655728111521582,0.5650415243336135,100
1860,Log Farm Value,geog_adjusted_tri_mserd,-0.07887187813140115,0.04564032724067207,0.08396704311771758,100
1860,Log Farm Value,geog_and_slave_adjusted_tri_mserd,-0.3174911154599402,0.04408870405714302,5.968949472214226e-13,100
1860,Log Farm Value,unadjusted_tri_imserd,-0.04921786206797525,0.06648340828705769,0.4591162024370609,100
1860,Log Farm Value,geog_adjusted_tri_imserd,-0.0789721483182925,0.04601716823119761,0.0861354465295087,100
